network,quantity,symbol,method,finite outputs,attempted samples,method converged samples,common converged samples,sigma calibration samples,MCS [%],standardized MWS,standardized MWIS,component class
MV Oberrhein,Reactive power,sigma_Q,Monte Carlo UQ ILSE,161,1000,1000,1000,1000,68.23913043478261,1.9999999999999998,3.051107318460212,Node
MV Oberrhein,Reactive power,sigma_Q,Analytical UQ NRSE,161,1000,1000,1000,0,68.84844720496895,2.0169286287817427,3.052391352013667,Node
MV Oberrhein,Reactive power,sigma_Q,Monte Carlo UQ NRSE,161,1000,1000,1000,1000,68.20434782608696,2.0000000000000004,3.052288657910125,Node
MV Oberrhein,Reactive power,sigma_Q,Gain inverse NumPy,161,1000,1000,1000,1,70.54099378881988,2.082630417413387,3.061977224617646,Node
MV Oberrhein,Current magnitude,sigma_|I|,Analytical UQ ILSE,356,1000,1000,1000,0,55.05337078651685,1.5120148520415384,3.1623492733188843,Branch terminal
MV Oberrhein,Current magnitude,sigma_|I|,Monte Carlo UQ ILSE,356,1000,1000,1000,1000,68.19297752808988,2.0,3.0611178024910797,Branch terminal
MV Oberrhein,Current magnitude,sigma_|I|,Analytical UQ NRSE,356,1000,1000,1000,0,67.62191011235954,1.9898791117179595,3.076146171188921,Branch terminal
MV Oberrhein,Current magnitude,sigma_|I|,Monte Carlo UQ NRSE,356,1000,1000,1000,1000,67.90168539325843,2.0,3.073301726298068,Branch terminal
MV Oberrhein,Current magnitude,sigma_|I|,Gain inverse NumPy,356,1000,1000,1000,1,70.41320224719102,2.1084506607816693,3.0992042566517117,Branch terminal
MV Oberrhein,Active power,sigma_P,Analytical UQ ILSE,356,1000,1000,1000,0,57.022191011235954,1.578668151204324,3.1292767890664837,Branch terminal
MV Oberrhein,Active power,sigma_P,Monte Carlo UQ ILSE,356,1000,1000,1000,1000,68.25224719101122,1.9999999999999993,3.055208802225166,Branch terminal
MV Oberrhein,Active power,sigma_P,Analytical UQ NRSE,356,1000,1000,1000,0,67.80814606741573,1.986412947709377,3.062299057094726,Branch terminal
MV Oberrhein,Active power,sigma_P,Monte Carlo UQ NRSE,356,1000,1000,1000,1000,68.18061797752809,1.9999999999999993,3.058451855017025,Branch terminal
MV Oberrhein,Active power,sigma_P,Gain inverse NumPy,356,1000,1000,1000,1,70.81376404494381,2.113153410509363,3.0905148462950685,Branch terminal
MV Oberrhein,Reactive power,sigma_Q,Analytical UQ ILSE,356,1000,1000,1000,0,91.72696629213483,3.584217550971962,3.7950309779958453,Branch terminal
MV Oberrhein,Reactive power,sigma_Q,Monte Carlo UQ ILSE,356,1000,1000,1000,1000,68.23398876404495,1.9999999999999993,3.055621729957395,Branch terminal
MV Oberrhein,Reactive power,sigma_Q,Analytical UQ NRSE,356,1000,1000,1000,0,68.67191011235954,2.0157912920693977,3.0575953064885155,Branch terminal
MV Oberrhein,Reactive power,sigma_Q,Monte Carlo UQ NRSE,356,1000,1000,1000,1000,68.17640449438203,2.0,3.0573713186302163,Branch terminal
MV Oberrhein,Reactive power,sigma_Q,Gain inverse NumPy,356,1000,1000,1000,1,71.68623595505618,2.1387366385099407,3.0876246260554687,Branch terminal
LV Schutterwald,Voltage magnitude,sigma_|U|,Analytical UQ ILSE,2940,1000,1000,1000,0,61.07486394557824,1.688478444267149,3.080082739440418,Node
LV Schutterwald,Voltage magnitude,sigma_|U|,Monte Carlo UQ ILSE,2940,1000,1000,1000,1000,68.48755102040816,1.9999999999999953,3.0387771159634642,Node
LV Schutterwald,Voltage magnitude,sigma_|U|,Analytical UQ NRSE,2940,1000,1000,1000,0,68.42340136054422,1.9947834357826046,3.038004666354283,Node
LV Schutterwald,Voltage magnitude,sigma_|U|,Monte Carlo UQ NRSE,2940,1000,1000,1000,1000,68.4911224489796,2.0000000000000018,3.038631967273395,Node
LV Schutterwald,Voltage magnitude,sigma_|U|,Gain inverse NumPy,2940,1000,1000,1000,1,73.4241156462585,2.219018039883704,3.068120627738052,Node
LV Schutterwald,Active power,sigma_P,Analytical UQ ILSE,1520,1000,1000,1000,0,63.98796052631579,1.8311543212421033,3.0631494960048253,Node
LV Schutterwald,Active power,sigma_P,Monte Carlo UQ ILSE,1520,1000,1000,1000,1000,68.20901315789473,2.0,3.052343576111309,Node
LV Schutterwald,Active power,sigma_P,Analytical UQ NRSE,1520,1000,1000,1000,0,68.2078947368421,1.999792902036061,3.051599862786899,Node
LV Schutterwald,Active power,sigma_P,Monte Carlo UQ NRSE,1520,1000,1000,1000,1000,68.20927631578947,2.0,3.052341039925337,Node
LV Schutterwald,Active power,sigma_P,Gain inverse NumPy,1520,1000,1000,1000,1,81.22302631578948,2.631777643295344,3.1985757296746247,Node
LV Schutterwald,Reactive power,sigma_Q,Analytical UQ ILSE,1520,1000,1000,1000,0,64.01861842105264,1.8305178006940799,3.061193469252103,Node
LV Schutterwald,Reactive power,sigma_Q,Monte Carlo UQ ILSE,1520,1000,1000,1000,1000,68.27059210526315,2.0,3.05058839242708,Node
LV Schutterwald,Reactive power,sigma_Q,Analytical UQ NRSE,1520,1000,1000,1000,0,68.24572368421052,1.9988461984359887,3.049800106474313,Node
LV Schutterwald,Reactive power,sigma_Q,Monte Carlo UQ NRSE,1520,1000,1000,1000,1000,68.27052631578947,1.9999999999999998,3.050587093405895,Node
LV Schutterwald,Reactive power,sigma_Q,Gain inverse NumPy,1520,1000,1000,1000,1,81.18677631578947,2.630421733153964,3.197094744512455,Node
LV Schutterwald,Current magnitude,sigma_|I|,Analytical UQ ILSE,2969,1000,1000,1000,0,62.70660154934321,2.2546128787395516,3.897810814084544,Branch terminal
LV Schutterwald,Current magnitude,sigma_|I|,Monte Carlo UQ ILSE,2969,1000,1000,1000,1000,57.862074772650715,1.9999999999999996,4.0213096574723055,Branch terminal
LV Schutterwald,Current magnitude,sigma_|I|,Analytical UQ NRSE,2969,1000,1000,1000,0,66.8978443920512,2.4631495085417345,3.873431365286417,Branch terminal
LV Schutterwald,Current magnitude,sigma_|I|,Monte Carlo UQ NRSE,2969,1000,1000,1000,1000,57.863388346244534,2.0,4.021310073056289,Branch terminal
LV Schutterwald,Current magnitude,sigma_|I|,Gain inverse NumPy,2969,1000,1000,1000,1,82.27396429774333,3.4544207380694565,4.131319042953814,Branch terminal
LV Schutterwald,Active power,sigma_P,Analytical UQ ILSE,2970,1000,1000,1000,0,63.36636363636363,1.8311009758344416,3.06170223936135,Branch terminal
LV Schutterwald,Active power,sigma_P,Monte Carlo UQ ILSE,2970,1000,1000,1000,1000,68.20023569023569,2.0,3.0510576531808113,Branch terminal
LV Schutterwald,Active power,sigma_P,Analytical UQ NRSE,2970,1000,1000,1000,0,68.21491582491583,2.0000698961132874,3.050317302864992,Branch terminal
LV Schutterwald,Active power,sigma_P,Monte Carlo UQ NRSE,2970,1000,1000,1000,1000,68.22272727272727,2.0,3.051056996071781,Branch terminal
LV Schutterwald,Active power,sigma_P,Gain inverse NumPy,2970,1000,1000,1000,1,83.72555555555556,2.8070959816677274,3.2866269337758345,Branch terminal
LV Schutterwald,Reactive power,sigma_Q,Analytical UQ ILSE,2970,1000,1000,1000,0,64.0293265993266,1.8318055166720701,3.0610919940562558,Branch terminal
LV Schutterwald,Reactive power,sigma_Q,Monte Carlo UQ ILSE,2970,1000,1000,1000,1000,68.25333333333333,2.0,3.05077683905544,Branch terminal
LV Schutterwald,Reactive power,sigma_Q,Analytical UQ NRSE,2970,1000,1000,1000,0,68.24491582491584,1.9989690465694856,3.0499579591663224,Branch terminal
LV Schutterwald,Reactive power,sigma_Q,Monte Carlo UQ NRSE,2970,1000,1000,1000,1000,68.26414141414142,2.0000000000000004,3.0507770872967077,Branch terminal
LV Schutterwald,Reactive power,sigma_Q,Gain inverse NumPy,2970,1000,1000,1000,1,83.68390572390574,2.8054594798206764,3.2858241343005954,Branch terminal
