network,quantity,symbol,unit,method,finite outputs,attempted samples,method converged samples,common converged samples,sigma calibration samples,MCS [%],MWS,MWIS,standardized MWS,standardized MWIS,component class,rated voltage [kV]
CIGRE LV,Reactive power,sigma_Q,kvar,Analytical UQ ILSE,3,1000,1000,1000,0,63.76666666666667,1.677850349229398,2.7941675514735858,1.8161123482402348,3.024418831878531,Branch terminal,20.0
CIGRE LV,Reactive power,sigma_Q,kvar,Monte Carlo UQ ILSE,3,1000,1000,1000,1000,68.80000000000001,1.8477384957546212,2.78408265121359,2.0000000000000053,3.0135028929800702,Branch terminal,20.0
CIGRE LV,Reactive power,sigma_Q,kvar,Analytical UQ NRSE,3,1000,1000,1000,0,66.36666666666667,1.6792049661314965,2.6359798880645084,1.9290222907248031,3.0281377583661326,Branch terminal,20.0
CIGRE LV,Reactive power,sigma_Q,kvar,Monte Carlo UQ NRSE,3,1000,1000,1000,1000,68.86666666666666,1.7409907331869665,2.6312533371025553,1.99999999999999,3.0227080327830436,Branch terminal,20.0
CIGRE LV,Reactive power,sigma_Q,kvar,Gain inverse NumPy,3,1000,1000,1000,1,77.0,2.028054014081984,2.765488107989801,2.3297700274021844,3.17691307055659,Branch terminal,20.0
CIGRE LV,Current magnitude,sigma_|I|,A,Analytical UQ ILSE,77,1000,1000,1000,0,68.85324675324675,0.7551092378712234,1.1529346183902536,2.0160494457183566,3.078194626393347,Branch terminal,0.4
CIGRE LV,Current magnitude,sigma_|I|,A,Monte Carlo UQ ILSE,77,1000,1000,1000,1000,68.55194805194806,0.7490979345520644,1.139933248026576,2.000000000000011,3.043482555343646,Branch terminal,0.4
CIGRE LV,Current magnitude,sigma_|I|,A,Analytical UQ NRSE,77,1000,1000,1000,0,71.2818181818182,0.7702535434621851,1.112649148537789,2.137109630959274,3.0871045403187853,Branch terminal,0.4
CIGRE LV,Current magnitude,sigma_|I|,A,Monte Carlo UQ NRSE,77,1000,1000,1000,1000,68.53246753246754,0.7208367154439769,1.0962353150288446,2.000000000000003,3.0415634818314,Branch terminal,0.4
CIGRE LV,Current magnitude,sigma_|I|,A,Gain inverse NumPy,77,1000,1000,1000,1,90.6818181818182,1.378762251302794,1.5099176748937193,3.8254495692650465,4.189347303053882,Branch terminal,0.4
